what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967373120
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967377834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967381999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967390533
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967391374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967401178
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1474967409054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967413923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967417230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967417664
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967423866
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967425825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967516462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967565735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967590184
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1474967660024
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1474967660041
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1474967660413
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1474967660470
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1474967662528
error,log,,,"Help index declared, but missing for plugin org.eclipse.emf.transaction.doc.",1474967662797
error,log,,,"Help index declared, but missing for plugin org.eclipse.ocl.doc.",1474967662888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967681118
error,log,,,"Help documentation could not be indexed completely.",1474967689761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967695032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967728885
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967730610
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967731481
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967732554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967735852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967746545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967754124
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967766403
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967767984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474967775271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967778758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1474967802836
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967828799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474967831061
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967832820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967838505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967843856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967849364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967851866
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967864736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967871712
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967874384
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967877775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967877975
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967892444
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967892448
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967893566
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967894817
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967896288
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967896291
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967898841
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967899040
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967905328
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967909635
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967909826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474967919796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967937412
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967938762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474967942943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474967953275
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474967965500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474967980556
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474968099949
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474968100525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968161035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968161116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968231810
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968238671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968238849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968266467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968269571
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474968271266
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968288524
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474968296423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968311939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474968334528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474968343536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474968369402
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474968372665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968379877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968691377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968703319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968746548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968746624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968770159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968770825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474968776339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474968778324
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968779497
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474968781441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968783931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968830953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968838289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968858833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968858908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474968874758
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968883133
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1474968885202
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474968885205
